"","q1","q2","q3","q4","q5","q6","q7","q8"
"168",3,3,2,2,2,3,3,2
"169",4,4,4,4,4,5,4,4
"170",3,4,3,2,3,4,3,3
"171",5,3,3,4,4,4,4,3
"172",2,2,1,2,2,2,1,2
"173",2,2,3,2,4,2,2,1
"174",3,3,2,2,4,4,4,2
"175",2,3,2,1,3,3,2,2
"176",3,2,4,3,3,4,4,3
"177",4,2,3,3,4,3,2,2
"178",3,3,4,2,5,4,3,2
"179",2,2,2,2,3,2,2,1
"180",4,3,3,2,3,3,2,2
"181",4,4,4,3,2,3,3,2
"182",3,4,3,2,3,3,3,2
"183",2,3,2,2,3,2,2,2
"184",3,2,3,2,2,3,4,2
"185",3,3,2,2,4,3,3,2
"186",3,3,2,2,3,2,1,2
"187",4,4,4,4,4,4,4,3
"188",3,4,4,3,4,3,3,2
"189",2,3,4,2,4,4,4,4
"190",3,4,1,2,3,3,3,2
"191",4,4,4,5,3,4,4,2
"192",4,2,3,2,4,4,4,3
"193",3,2,3,3,2,2,1,2
"194",3,3,3,3,4,3,2,2
"195",4,4,4,3,2,3,3,3
"196",4,3,2,2,3,3,3,3
"197",2,3,3,2,3,4,2,3
"198",3,4,3,2,4,3,2,2
"199",4,4,3,3,3,4,3,2
"200",4,3,4,3,3,3,2,2
"201",4,3,4,2,4,4,4,4
"202",3,4,2,2,3,4,2,3
"203",3,2,2,2,3,3,2,2
"204",3,2,2,2,2,3,2,1
"205",3,2,2,1,2,2,1,1
"206",3,3,2,2,3,3,2,2
"207",4,3,4,3,4,4,3,4
"208",4,4,2,2,3,3,1,2
"209",3,3,2,2,3,4,3,2
"210",3,3,2,2,2,2,2,2
"211",4,4,4,4,4,4,4,4
"212",3,3,2,2,3,3,2,2
"213",4,3,3,3,2,3,3,2
"214",3,4,3,3,3,3,3,2
"215",3,4,2,1,4,3,2,2
"216",3,3,2,3,4,4,4,2
"217",4,2,3,3,3,2,2,2
"218",4,4,4,4,3,3,3,2
"219",4,3,3,2,2,3,2,2
"220",2,2,2,2,3,2,1,2
"221",3,3,2,1,3,2,1,2
"222",4,3,4,4,3,3,2,2
"223",4,4,4,4,4,5,4,4
"224",3,3,3,3,3,3,3,2
"225",4,3,2,2,4,3,2,2
"226",2,3,2,2,5,4,3,2
"227",4,4,4,3,4,3,2,2
"228",5,4,4,4,3,4,3,2
"229",4,3,3,3,3,4,4,4
"230",3,2,2,3,2,3,2,2
"231",3,2,2,2,3,2,2,1
"232",5,3,3,2,2,4,4,3
"233",4,3,2,2,3,3,2,2
"234",4,4,3,2,3,3,4,2
"235",4,4,3,2,3,3,2,2
"236",4,4,3,3,3,3,3,2
"237",4,3,3,2,3,4,3,4
"238",2,4,2,2,2,3,2,3
"239",4,4,4,3,2,4,3,4
"240",2,3,2,2,4,4,4,4
"241",3,3,3,2,2,3,3,2
"242",3,3,4,4,4,2,2,2
"243",3,3,2,2,3,3,3,4
"244",3,4,3,2,4,4,3,3
"245",3,2,3,2,3,4,3,3
"246",3,3,2,2,3,3,2,2
"247",4,3,4,2,3,4,4,3
"248",3,4,3,2,4,4,3,2
"249",3,4,3,2,3,3,3,2
"250",4,4,3,2,4,3,2,2
